code,name,ip_2015_17,ip_2022_24,D1,D2,D3,D4,rule
VEN,Venezuela,-1.463106,,NON,,NON,CN,이념점수
VNM,Viet Nam,-1.0406396666666666,-0.7199556,NON,CN,NON,CN,이념점수
VUT,Vanuatu,-0.07453559,-0.11026478,NON,NON,NON,CN,이념점수
WSM,Samoa,-0.08906492579999999,0.03204663666666666,NON,NON,NON,CN,이념점수
WXD,Rest of the world,,,,,NON,,미배정(이념점수 없음)
XKV,Kosovo,,,,,NON,,미배정(이념점수 없음)
YEM,Yemen,-0.7200674333333333,-0.5720671666666667,NON,CN,NON,CN,이념점수
ZAF,South Africa,-0.4835784,-0.4931459333333333,CN,NON,NON,CN,이념점수
ZMB,Zambia,-0.6095988666666666,-0.3611777666666667,NON,NON,NON,CN,이념점수
ZWE,Zimbabwe,-1.675842,-0.9670078000000001,NON,CN,NON,CN,이념점수
